ID,Count
18288,2807471.2723335284
18289,2807471.2723335284
18290,2807471.2723335284
18291,2807471.2723335284
18292,2807471.2723335284
18293,2807471.2723335284
18294,2807471.2723335284
18295,2807471.2723335284
18296,2807471.2723335284
18297,2807471.2723335284
18298,2807471.2723335284
18299,2807471.2723335284
18300,2807471.2723335284
18301,2807471.2723335284
18302,2807471.2723335284
18303,2807471.2723335284
18304,2807471.2723335284
18305,2807471.2723335284
18306,2807471.2723335284
18307,2807471.2723335284
18308,2807471.2723335284
18309,2807471.2723335284
18310,2807471.2723335284
18311,2807471.2723335284
18312,2842600.5704335375
18313,2842600.5704335375
18314,2842600.5704335375
18315,2842600.5704335375
18316,2842600.5704335375
18317,2842600.5704335375
18318,2842600.5704335375
18319,2842600.5704335375
18320,2842600.5704335375
18321,2842600.5704335375
18322,2842600.5704335375
18323,2842600.5704335375
18324,2842600.5704335375
18325,2842600.5704335375
18326,2842600.5704335375
18327,2842600.5704335375
18328,2842600.5704335375
18329,2842600.5704335375
18330,2842600.5704335375
18331,2842600.5704335375
18332,2842600.5704335375
18333,2842600.5704335375
18334,2842600.5704335375
18335,2842600.5704335375
18336,2877948.2869087444
18337,2877948.2869087444
18338,2877948.2869087444
18339,2877948.2869087444
18340,2877948.2869087444
18341,2877948.2869087444
18342,2877948.2869087444
18343,2877948.2869087444
18344,2877948.2869087444
18345,2877948.2869087444
18346,2877948.2869087444
18347,2877948.2869087444
18348,2877948.2869087444
18349,2877948.2869087444
18350,2877948.2869087444
18351,2877948.2869087444
18352,2877948.2869087444
18353,2877948.2869087444
18354,2877948.2869087444
18355,2877948.2869087444
18356,2877948.2869087444
18357,2877948.2869087444
18358,2877948.2869087444
18359,2877948.2869087444
18360,2913514.4217591477
18361,2913514.4217591477
18362,2913514.4217591477
18363,2913514.4217591477
18364,2913514.4217591477
18365,2913514.4217591477
18366,2913514.4217591477
18367,2913514.4217591477
18368,2913514.4217591477
18369,2913514.4217591477
18370,2913514.4217591477
18371,2913514.4217591477
18372,2913514.4217591477
18373,2913514.4217591477
18374,2913514.4217591477
18375,2913514.4217591477
18376,2913514.4217591477
18377,2913514.4217591477
18378,2913514.4217591477
18379,2913514.4217591477
18380,2913514.4217591477
18381,2913514.4217591477
18382,2913514.4217591477
18383,2913514.4217591477
18384,2949298.974984749
18385,2949298.974984749
18386,2949298.974984749
18387,2949298.974984749
18388,2949298.974984749
18389,2949298.974984749
18390,2949298.974984749
18391,2949298.974984749
18392,2949298.974984749
18393,2949298.974984749
18394,2949298.974984749
18395,2949298.974984749
18396,2949298.974984749
18397,2949298.974984749
18398,2949298.974984749
18399,2949298.974984749
18400,2949298.974984749
18401,2949298.974984749
18402,2949298.974984749
18403,2949298.974984749
18404,2949298.974984749
18405,2949298.974984749
18406,2949298.974984749
18407,2949298.974984749
18408,2985301.946585548
18409,2985301.946585548
18410,2985301.946585548
18411,2985301.946585548
18412,2985301.946585548
18413,2985301.946585548
18414,2985301.946585548
18415,2985301.946585548
18416,2985301.946585548
18417,2985301.946585548
18418,2985301.946585548
18419,2985301.946585548
18420,2985301.946585548
18421,2985301.946585548
18422,2985301.946585548
18423,2985301.946585548
18424,2985301.946585548
18425,2985301.946585548
18426,2985301.946585548
18427,2985301.946585548
18428,2985301.946585548
18429,2985301.946585548
18430,2985301.946585548
18431,2985301.946585548
18432,3021523.336561545
18433,3021523.336561545
18434,3021523.336561545
18435,3021523.336561545
18436,3021523.336561545
18437,3021523.336561545
18438,3021523.336561545
18439,3021523.336561545
18440,3021523.336561545
18441,3021523.336561545
18442,3021523.336561545
18443,3021523.336561545
18444,3021523.336561545
18445,3021523.336561545
18446,3021523.336561545
18447,3021523.336561545
18448,3021523.336561545
18449,3021523.336561545
18450,3021523.336561545
18451,3021523.336561545
18452,3021523.336561545
18453,3021523.336561545
18454,3021523.336561545
18455,3021523.336561545
18456,3057963.1449127384
18457,3057963.1449127384
18458,3057963.1449127384
18459,3057963.1449127384
18460,3057963.1449127384
18461,3057963.1449127384
18462,3057963.1449127384
18463,3057963.1449127384
18464,3057963.1449127384
18465,3057963.1449127384
18466,3057963.1449127384
18467,3057963.1449127384
18468,3057963.1449127384
18469,3057963.1449127384
18470,3057963.1449127384
18471,3057963.1449127384
18472,3057963.1449127384
18473,3057963.1449127384
